name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"NumParticles","Steps"
"LJNaiveCutoff/10",44,35.6872,35.6864,ms,,,,,,100,100
"LJNaiveCutoff/20",3,473.882,473.88,ms,,,,,,400,100
"LJNaiveCutoff/30",1,1598.75,1598.75,ms,,,,,,900,100
"LJNaiveCutoff/40",1,5153.67,5153.75,ms,,,,,,1600,100
"LJNaiveCutoff/50",1,15133.8,15134,ms,,,,,,2500,100
"LJNaiveCutoff/60",1,38636.6,38636.9,ms,,,,,,3600,100
"LJNaiveCutoff/70",1,87051,87050.9,ms,,,,,,4900,100
"LJNaiveCutoff/80",1,183321,183318,ms,,,,,,6400,100
"LJNaiveCutoff/90",1,355918,355909,ms,,,,,,8100,100
"LJNaiveCutoff/100",1,646530,646511,ms,,,,,,10000,100
"LJThirdLawCutoff/10",73,20.8789,20.8786,ms,,,,,,100,100
"LJThirdLawCutoff/20",6,277.012,276.997,ms,,,,,,400,100
"LJThirdLawCutoff/30",1,929.433,929.373,ms,,,,,,900,100
"LJThirdLawCutoff/40",1,2989.4,2989.33,ms,,,,,,1600,100
"LJThirdLawCutoff/50",1,8629.97,8629.65,ms,,,,,,2500,100
"LJThirdLawCutoff/60",1,22208.1,22207.2,ms,,,,,,3600,100
"LJThirdLawCutoff/70",1,49945.4,49943.6,ms,,,,,,4900,100
"LJThirdLawCutoff/80",1,105843,105838,ms,,,,,,6400,100
"LJThirdLawCutoff/90",1,200607,200599,ms,,,,,,8100,100
"LJThirdLawCutoff/100",1,361314,361295,ms,,,,,,10000,100
"LJLCNaive/10",20,76.7315,76.7191,ms,,,,,,100,100
"LJLCNaive/20",4,352.475,352.422,ms,,,,,,400,100
"LJLCNaive/30",1,660.424,660.318,ms,,,,,,900,100
"LJLCNaive/40",1,1257.23,1257.02,ms,,,,,,1600,100
"LJLCNaive/50",1,2375.67,2375.31,ms,,,,,,2500,100
"LJLCNaive/60",1,3947.86,3947.28,ms,,,,,,3600,100
"LJLCNaive/70",1,6397.53,6396.48,ms,,,,,,4900,100
"LJLCNaive/80",1,10074.5,10073.1,ms,,,,,,6400,100
"LJLCNaive/90",1,15291.1,15288.9,ms,,,,,,8100,100
"LJLCNaive/100",1,22149.3,22146.1,ms,,,,,,10000,100
"LJLCThirdLaw/10",37,41.736,41.7289,ms,,,,,,100,100
"LJLCThirdLaw/20",7,223.77,223.731,ms,,,,,,400,100
"LJLCThirdLaw/30",2,660.786,660.683,ms,,,,,,900,100
"LJLCThirdLaw/40",1,1095.35,1095.22,ms,,,,,,1600,100
"LJLCThirdLaw/50",1,1823.08,1822.81,ms,,,,,,2500,100
"LJLCThirdLaw/60",1,2898.37,2897.92,ms,,,,,,3600,100
"LJLCThirdLaw/70",1,4416.13,4415.46,ms,,,,,,4900,100
"LJLCThirdLaw/80",1,6665.72,6664.76,ms,,,,,,6400,100
"LJLCThirdLaw/90",1,9655.72,9654.36,ms,,,,,,8100,100
"LJLCThirdLaw/100",1,13728.4,13726.6,ms,,,,,,10000,100
